,zip_code,march_20,april_20,diff,diffpct
724,13617,3,2,1,50.00
725,6903,3,1,2,200.00
726,10974,3,3,0,0.00
727,8869,3,3,0,0.00
728,11579,3,4,-1,-25.00
729,12444,3,2,1,50.00
730,10916,3,2,1,50.00
731,12455,3,4,-1,-25.00
732,10928,3,3,0,0.00
733,12017,3,1,2,200.00
734,14623,3,4,-1,-25.00
735,7109,3,3,0,0.00
736,12517,3,2,1,50.00
737,11395,3,2,1,50.00
738,10177,3,3,0,0.00
739,8527,3,1,2,200.00
740,10517,3,1,2,200.00
741,11955,3,3,0,0.00
742,10998,3,3,0,0.00
743,12566,3,1,2,200.00
744,13754,3,3,0,0.00
745,10986,3,1,2,200.00
746,12441,3,3,0,0.00
747,12306,3,3,0,0.00
748,14620,3,4,-1,-25.00
749,12020,3,2,1,50.00
750,11551,3,4,-1,-25.00
751,14621,3,3,0,0.00
752,12442,3,3,0,0.00
753,12575,3,2,1,50.00
754,12514,3,2,1,50.00
755,10919,3,3,0,0.00
756,10964,3,3,0,0.00
757,6902,3,2,1,50.00
758,12037,3,5,-2,-40.00
759,19144,3,1,2,200.00
760,11376,3,1,2,200.00
761,20854,3,3,0,0.00
762,6784,3,1,2,200.00
763,7627,3,1,2,200.00
764,14617,3,1,2,200.00
765,13350,3,1,2,200.00
766,11389,3,2,1,50.00
767,11718,3,3,0,0.00
768,12518,3,2,1,50.00
769,11248,3,2,1,50.00
770,11948,3,3,0,0.00
771,13014,3,3,0,0.00
772,12450,3,3,0,0.00
773,12522,3,5,-2,-40.00
774,6840,3,1,2,200.00
775,7501,3,1,2,200.00
776,11977,3,2,1,50.00
777,12719,2,1,1,100.00
778,91364,2,2,0,0.00
779,14612,2,3,-1,-33.33
780,7657,2,1,1,100.00
781,11321,2,1,1,100.00
782,13813,2,1,1,100.00
783,18372,2,1,1,100.00
784,20910,2,1,1,100.00
785,11335,2,3,-1,-33.33
786,12165,2,3,-1,-33.33
787,11323,2,4,-2,-50.00
788,7407,2,2,0,0.00
789,53227,2,2,0,0.00
790,14615,2,1,1,100.00
791,14611,2,3,-1,-33.33
792,12525,2,1,1,100.00
793,12167,2,1,1,100.00
794,10518,2,3,-1,-33.33
795,12779,2,4,-2,-50.00
796,12491,2,1,1,100.00
797,12788,2,1,1,100.00
798,14817,2,2,0,0.00
799,14208,2,1,1,100.00
800,14211,2,3,-1,-33.33
801,11317,2,1,1,100.00
802,12733,2,4,-2,-50.00
803,18324,2,1,1,100.00
804,94129,2,2,0,0.00
805,10535,2,2,0,0.00
806,7105,2,1,1,100.00
807,14618,2,3,-1,-33.33
808,12583,2,1,1,100.00
809,7102,2,4,-2,-50.00
810,6390,2,2,0,0.00
811,12740,2,2,0,0.00
812,12531,2,2,0,0.00
813,12222,2,3,-1,-33.33
814,7206,2,1,1,100.00
815,6611,2,1,1,100.00
816,12568,2,3,-1,-33.33
817,7621,2,3,-1,-33.33
818,12737,2,5,-3,-60.00
819,7201,2,2,0,0.00
820,12504,2,3,-1,-33.33
821,7631,2,1,1,100.00
822,6607,2,1,1,100.00
823,33131,2,1,1,100.00
824,7604,2,1,1,100.00
825,7067,2,1,1,100.00
826,12501,2,2,0,0.00
827,7086,2,1,1,100.00
828,7054,2,2,0,0.00
829,13795,2,1,1,100.00
830,13797,2,1,1,100.00
831,12723,2,1,1,100.00
832,14217,2,1,1,100.00
833,11314,2,2,0,0.00
834,13365,2,2,0,0.00
835,11739,2,2,0,0.00
836,7646,2,1,1,100.00
837,7060,2,2,0,0.00
838,11475,2,2,0,0.00
839,13205,2,1,1,100.00
840,11306,2,2,0,0.00
841,6516,2,1,1,100.00
842,12182,2,3,-1,-33.33
843,19406,2,2,0,0.00
844,13202,2,3,-1,-33.33
845,14226,2,2,0,0.00
846,11634,2,1,1,100.00
847,14224,2,2,0,0.00
848,12747,2,1,1,100.00
849,11786,2,2,0,0.00
850,12786,2,3,-1,-33.33
851,12928,2,2,0,0.00
852,33434,2,2,0,0.00
853,12941,2,1,1,100.00
854,14092,2,2,0,0.00
855,14094,2,4,-2,-50.00
856,13057,2,2,0,0.00
857,8854,2,3,-1,-33.33
858,6790,2,3,-1,-33.33
859,33426,2,1,1,100.00
860,13053,2,1,1,100.00
861,18040,2,1,1,100.00
862,11026,2,1,1,100.00
863,12051,2,1,1,100.00
864,12402,2,2,0,0.00
